Sub-Category,Total_Sales,Avg_Order_Value,Sales_Volatility,Growth_Rate,Cluster,PC1,PC2,Cluster_Label
Accessories,164186.7,3420.55625,2579.99480907113,5.026158064477164,1,0.39054466076962907,-0.1477096970031134,"High Volume, Stable Demand"
Appliances,104618.403,2179.5500625,1821.6215390281989,19.775731012860707,2,-0.7968396681755031,1.8488291616805412,Growing Demand
Art,26705.41,556.3627083333333,330.4883427284576,3.871902367365388,0,-1.8952341917554334,-0.5946866816900195,"Low Volume, Stable Demand"
Binders,200028.785,4167.266354166667,3848.2236478754908,4.843922957171692,1,1.2103893204848428,-0.10471640765354785,"High Volume, Stable Demand"
Bookcases,113813.1987,2474.1999717391304,2220.4050797251753,2.6177216092193,0,-0.23684091933671755,-0.5958847575294032,"Low Volume, Stable Demand"
Chairs,322822.731,6725.4735625,4407.232959811409,2.573908828235069,1,2.8509846376066,-0.17113977029122474,"High Volume, Stable Demand"
Copiers,146248.094,4570.2529375,5500.774390527093,1.2266812892300825,1,1.5959642503157958,-0.6946371861245917,"High Volume, Stable Demand"
Envelopes,16128.046,350.6096956521739,228.21868781596007,1.1344926939699527,0,-1.9985560988302629,-1.0095998231641687,"Low Volume, Stable Demand"
Fasteners,3001.96,63.87148936170213,48.74222863268981,4.463753213367609,0,-2.269182987858863,-0.5586882696141879,"Low Volume, Stable Demand"
Furnishings,89212.018,1858.5837083333333,1360.0178672616057,4.916296928576215,0,-0.8628915418545487,-0.31683527081968893,"Low Volume, Stable Demand"
Labels,12347.726,257.2442916666667,223.47121839221342,5.2288472712644705,0,-2.1192233412201786,-0.42980845510206345,"Low Volume, Stable Demand"
Machines,189238.631,4852.272589743589,5603.554746739796,-0.9506621815708511,1,1.9942158782528991,-0.938221995467074,"High Volume, Stable Demand"
Paper,76828.304,1600.5896666666667,1024.8249818349852,15.075985455747459,2,-1.2892981338172216,1.118674036079447,Growing Demand
Phones,327782.44800000003,6828.801,4052.718220520821,2.915978232702773,1,2.7904936831459293,-0.10921911421011206,"High Volume, Stable Demand"
Storage,219343.392,4569.6539999999995,2822.0843101166624,2.368008489125784,1,1.1531343755501198,-0.41295809378927045,"High Volume, Stable Demand"
Supplies,46420.308,1055.0069999999998,2025.0941389159009,9.754915765652502,0,-1.2087471617898822,0.2859858177884119,"Low Volume, Stable Demand"
Tables,202810.628,4225.221416666666,3224.082504460717,25.20193093093093,2,0.6910872385127947,2.8306165069100664,Growing Demand
